id,text_snippet,labels
149,marketleader1 stronger brand presence compete,Competition
150,customization option excellent pricing high,"Positive, Pricing Discussion, Objection"
151,explain platform handle cybersecurity threat,Security
152,rivala offer better subscription plan adjust,"Pricing Discussion, Competition"
153,impressed ai engine budget concern,"Positive, Pricing Discussion, Objection"
154,handle supply chain management platform,Security
155,challengerb attractive pricing model match,"Pricing Discussion, Competition"
156,platform good need clarity hidden cost,"Pricing Discussion, Objection"
157,ensure compliance industryspecific regulation,Security
158,competitorx offer better multilanguage support improve,Competition
159,analytics great need better price guarantee,"Positive, Pricing Discussion, Objection"
160,provide detail cybersecurity certification,Security
161,platform impressive need discount longterm use,"Positive, Pricing Discussion, Objection"
162,compare disruptor3 term data pipeline efficiency,Competition
163,concerned lack blockchain integration platform,"Security, Objection"
164,pricing model unclear provide detail,"Pricing Discussion, Objection"
165,handle user experience remote work adaptation,Security
166,competitory better freemium model adjust,"Pricing Discussion, Competition"
167,ai engine fantastic need better enterprise licensing deal,"Positive, Pricing Discussion, Objection"
168,explain platform ensures data privacy,Security
169,emergingstartup2 offer attractive tiered pricing model match,"Pricing Discussion, Competition"
170,platform great need better early bird offer,"Positive, Pricing Discussion, Objection"
171,handle regulatory compliance finance industry,Security
172,contenderc robust cloud integration compare,Competition
173,analytics excellent need better subscription plan,"Positive, Pricing Discussion, Objection"
174,provide detail cybersecurity measure,Security
175,competitorz offer better payasyougo model adjust,"Pricing Discussion, Competition"
176,concerned lack iot connectivity platform,"Security, Objection"
177,platform great need discount bulk usage,"Positive, Pricing Discussion, Objection"
178,ensure data privacy government client,Security
179,marketleader1 stronger brand presence compete,Competition
180,customization option excellent pricing high,"Positive, Pricing Discussion, Objection"
181,explain platform handle cybersecurity threat,Security
182,rivala offer better subscription plan adjust,"Pricing Discussion, Competition"
183,impressed ai engine budget concern,"Positive, Pricing Discussion, Objection"
184,handle supply chain management platform,Security
185,challengerb attractive pricing model match,"Pricing Discussion, Competition"
186,platform good need clarity hidden cost,"Pricing Discussion, Objection"
187,ensure compliance industryspecific regulation,Security
188,competitorx offer better multilanguage support improve,Competition
189,analytics great need better price guarantee,"Positive, Pricing Discussion, Objection"
190,provide detail cybersecurity certification,Security
191,platform impressive need discount longterm use,"Positive, Pricing Discussion, Objection"
192,compare disruptor3 term data pipeline efficiency,Competition
193,concerned lack blockchain integration platform,"Security, Objection"
194,pricing model unclear provide detail,"Pricing Discussion, Objection"
195,handle user experience remote work adaptation,Security
196,competitory better freemium model adjust,"Pricing Discussion, Competition"
197,ai engine fantastic need better enterprise licensing deal,"Positive, Pricing Discussion, Objection"
198,explain platform ensures data privacy,Security
199,emergingstartup2 offer attractive tiered pricing model match,"Pricing Discussion, Competition"
200,platform great need better early bird offer,"Positive, Pricing Discussion, Objection"
201,expanding north america need platform strong analytics support,"Positive, Competition"
202,pricing model work europe need discount asiapacific market,"Positive, Pricing Discussion, Objection"
203,platform handle data privacy regulation middle east,Security
204,considering competitorx operation latin america compare,Competition
205,cloud integration great need multilanguage support oceania,"Positive, Objection"
206,provide servicelevel agreement sla operation africa,Security
207,impressed ai engine pricing high indian market,"Positive, Pricing Discussion, Objection"
208,platform ensure compliance gdpr european client,Security
209,competitory offer better iot connectivity u operation match,Competition
210,platform good need better subscription plan chinese market,"Pricing Discussion, Objection"
211,handle cybersecurity government client uk,Security
212,evaluating rivala expansion germany differentiate,Competition
213,analytics excellent need better price guarantee brazil,"Positive, Pricing Discussion, Objection"
214,explain platform handle data privacy australian client,Security
215,emergingstartup2 offer attractive pricing model middle east compete,"Pricing Discussion, Competition"
216,concerned lack blockchain integration operation africa,"Security, Objection"
217,platform great need discount bulk usage north america,"Positive, Pricing Discussion, Objection"
218,ensure compliance industryspecific regulation europe,Security
219,competitorx offer better multilanguage support asiapacific region improve,Competition
220,analytics great need better subscription plan latin america,"Positive, Pricing Discussion, Objection"
221,provide detail cybersecurity certification u market,Security
222,platform impressive need discount longterm use oceania,"Positive, Pricing Discussion, Objection"
223,compare disruptor3 term data pipeline efficiency indian market,Competition
224,concerned lack iot connectivity operation china,"Security, Objection"
225,pricing model unclear european market provide detail,"Pricing Discussion, Objection"
